event_name,event_date,event_location,winner,fighter_a_name,fighter_b_name,weightclass,method_of_victory,round_of_victory,time_of_victory,time_format,referee,title_fight,gender,Fighter A Odds,Fighter A Avg Odds,Fighter A Best Odds,Fighter B Odds,Fighter B Avg Odds,Fighter B Best Odds
UFC 264: Poirier vs. McGregor 3,2021-07-10,"Las Vegas, Nevada, USA",Dricus Du Plessis,Dricus Du Plessis,Trevin Giles,Middleweight,KO/TKO,2,1:41,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Gane vs. Volkov,2021-06-26,"Las Vegas, Nevada, USA",Jeremiah Wells,Jeremiah Wells,Warlley Alves,Welterweight,KO/TKO,2,0:30,3,Chris Tognoni,False,men,[],,,[],,
UFC 263: Adesanya vs. Vettori 2,2021-06-12,"Glendale, Arizona, USA",Terrance McKinney,Terrance McKinney,Matt Frevola,Lightweight,KO/TKO,1,0:07,3,Jason Herzog,False,men,[],,,[],,
UFC 263: Adesanya vs. Vettori 2,2021-06-12,"Glendale, Arizona, USA",Carlos Felipe,Carlos Felipe,Jake Collier,Heavyweight,Decision - Split,3,5:00,3,Al Guinee,False,men,[],,,"[{'Bookmaker': 'Betfair', 'Odds Price': 160}, {'Bookmaker': 'Betfair', 'Odds Price': 150}, {'Bookmaker': 'MyBookie.ag', 'Odds Price': 140}, {'Bookmaker': 'BetOnline.ag', 'Odds Price': 145}, {'Bookmaker': 'Bookmaker', 'Odds Price': 135}, {'Bookmaker': 'LowVig.ag', 'Odds Price': 145}, {'Bookmaker': 'William Hill (US)', 'Odds Price': 150}, {'Bookmaker': 'SugarHouse', 'Odds Price': 135}, {'Bookmaker': 'DraftKings', 'Odds Price': 135}, {'Bookmaker': 'BetRivers', 'Odds Price': 135}, {'Bookmaker': 'Barstool Sportsbook', 'Odds Price': 135}, {'Bookmaker': 'FanDuel', 'Odds Price': 144}, {'Bookmaker': 'Caesars', 'Odds Price': 145}, {'Bookmaker': 'Unibet', 'Odds Price': 135}, {'Bookmaker': 'FOX Bet', 'Odds Price': 150}, {'Bookmaker': 'Bovada', 'Odds Price': 140}]",142.0,"{'Odds': 160, 'Bookmaker': 'Betfair'}"
UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,"Las Vegas, Nevada, USA",Gregory Rodrigues,Gregory Rodrigues,Dusko Todorovic,Middleweight,Decision - Unanimous,3,5:00,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,"Las Vegas, Nevada, USA",Kamuela Kirk,Kamuela Kirk,Makwan Amirkhani,Featherweight,Decision - Unanimous,3,5:00,3,Keith Peterson,False,men,[],,,[],,
UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,"Las Vegas, Nevada, USA",Manon Fiorot,Manon Fiorot,Tabatha Ricci,Flyweight,KO/TKO,2,3:00,3,Herb Dean,False,women,[],,,[],,
UFC Fight Night: Font vs. Garbrandt,2021-05-22,"Las Vegas, Nevada, USA",Ben Rothwell,Ben Rothwell,Chris Barnett,Heavyweight,Submission,2,2:07,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Font vs. Garbrandt,2021-05-22,"Las Vegas, Nevada, USA",Josh Culibao,Josh Culibao,Shayilan Nuerdanbieke,Featherweight,Decision - Unanimous,3,5:00,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Font vs. Garbrandt,2021-05-22,"Las Vegas, Nevada, USA",David Dvorak,David Dvorak,Juancamilo Ronderos,Flyweight,Submission,1,2:18,3,Keith Peterson,False,men,[],,,[],,
UFC 262: Oliveira vs. Chandler,2021-05-15,"Houston, Texas, USA",Tucker Lutz,Tucker Lutz,Kevin Aguilar,Featherweight,Decision - Unanimous,3,5:00,3,Jacob Montalvo,False,men,[],,,[],,
UFC 262: Oliveira vs. Chandler,2021-05-15,"Houston, Texas, USA",Christos Giagos,Christos Giagos,Sean Soriano,Lightweight,Submission,2,0:59,3,Jeff Rexroad,False,men,[],,,[],,
UFC Fight Night: Rodriguez vs. Waterson,2021-05-08,"Las Vegas, Nevada, USA",Michael Trizano,Michael Trizano,Ludovit Klein,Featherweight,Decision - Unanimous,3,5:00,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Rodriguez vs. Waterson,2021-05-08,"Las Vegas, Nevada, USA",Carlston Harris,Carlston Harris,Christian Aguilera,Welterweight,Submission,1,2:52,3,Marc Goddard,False,men,[],,,[],,
